Release	Date	%+-YD	%+-LW	Days	google trends	Avg TD	Avg YD	Weekly	Weekly %+-YD	Weekly %+-LW	Avg Theatre	Avg per Theatre Avg	Avg To Date	Y	Week + 1
Words on Bathroom Walls	2020-08-31	39.89999999999999	-142.1	98.0	2.51	5.142857142857143	5.0	455438.0	39.89999999999999	-142.1	1297.7142857142858	51.714285714285715	1297046.857142857	2020-09-07	407307.0
The New Mutants	2020-08-31	55.19999999999999	-156.20000000000005	49.0	23.620559334845066	1.0	1.0	4753312.0	55.19999999999999	-156.20000000000005	2558.5714285714284	258.7142857142857	9245235.42857143	2020-09-07	3539243.0
Bump Kowalski and the Ten Commandments	2020-08-31	0.0	0.0	50.0	0.0	1.4285714285714286	0.0	540.0	0.0	0.0	0.14285714285714285	77.14285714285714	348.42857142857144	2020-09-07	198.0
Made in Italy	2020-08-31	-20.9	-137.3	106.0	2.204081632653061	5.857142857142858	6.142857142857142	2011.0	-20.9	-137.3	9.142857142857142	17.571428571428573	54345.285714285725	2020-09-07	0.0
My Brothers' Crossing	2020-08-31	-3.5	0.0	9.0	0.083616	3.7142857142857135	2.4285714285714284	19386.0	-3.5	0.0	31.285714285714285	37.714285714285715	5574.571428571428	2020-09-07	19994.0
Tulsa	2020-08-31	143.8	-340.19999999999993	98.0	63.869992441421054	7.571428571428571	7.571428571428571	41729.0	143.8	-340.19999999999993	126.57142857142857	57.714285714285715	179281.7142857143	2020-09-07	42650.0
The New Mutants	2020-09-07	51.80000000000002	-161.0	98.0	16.817838246409682	1.0	1.0	3539243.0	51.80000000000002	-161.0	2732.5714285714284	185.14285714285717	13628574.285714285	2020-09-14	2220235.0
Bill & Ted Face the Music	2020-09-07	-26.39999999999999	-322.4000000000001	98.0	1.21	3.571428571428572	3.2857142857142856	539717.0	-26.39999999999999	-322.4000000000001	890.4285714285713	88.2857142857143	2536969.1428571427	2020-09-14	310174.0
The Personal History of David Copperfield	2020-09-07	-18.899999999999984	-29.100000000000016	98.0	1.24	5.142857142857143	4.857142857142857	414661.0	-18.899999999999984	-29.100000000000016	1401.2857142857142	42.857142857142854	1232665.142857143	2020-09-14	220681.0
Bump Kowalski and the Ten Commandments	2020-09-07	0.0	0.0	62.0	0.0	1.8571428571428568	0.0	198.0	0.0	0.0	0.14285714285714285	28.285714285714285	376.71428571428567	2020-09-14	0.0
